M. Sc. Semester I,"Paper I : Invertebrate structure and function, Minor phyla
Paper II : Animal Behaviour
Paper III : Quantitative Biology
Paper IV : Ecology and Environmental Physiology
Lab course I :
Lab course II :"
M. Sc. Semester II,"Paper I : General and Comparative endocrinology of vertebrates
Paper II : Gamete biology and reproductive physiology in human beings
Paper III : Molecular cell biology
Paper IV : Tools and techniques for biology
Lab course I :
Lab course II :"
M. Sc. Semester III,"Paper I : Comparative anatomy of vertebrates
Paper II : Biosystematics, taxonomy and biodiversity
Paper III : Immunology and developmental biology
Paper IV : Population genetics and evolution
Lab course I :
Lab course II :"
M. Sc. Semester IV,"Paper I : General physiology and neurophysiology (compulsory)
Paper II : Biochemistry and metabolic regulation and cell function (compulsory)
Paper III : Fish (Ichthyology) structure and function (optional group I)
Paper IV : Applied fisheries (optional group I)
Lab course I :
Lab course II :"
